FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Documents/GitHub/2CM4_Projects/assignment_1_rocket.pde  20:13:43 1/24/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 48 Time= 2.641e-4 Dt= 2.294e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.46e-11 MAX ERR= 4.86e-11 TIME ERR= 2.946e-7 Lanczos/BInv=(14) MEM(KiB)=6149 
 +00:00:00| Step 49 Time= 2.669e-4 Dt= 2.868e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.41e-11 MAX ERR= 4.81e-11 TIME ERR= 1.315e-7 Lanczos/BInv=(14) MEM(KiB)=6149 
 +00:00:00| Step 50 Time= 2.705e-4 Dt= 3.585e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.35e-11 MAX ERR= 4.74e-11 TIME ERR= 5.871e-8 Lanczos/BInv=(14) MEM(KiB)=6149 
 +00:00:00| Step 51 Time= 2.750e-4 Dt= 4.481e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.28e-11 MAX ERR= 4.66e-11 TIME ERR= 2.621e-8 Lanczos/BInv=(14) MEM(KiB)=6149 
 +00:00:00| Step 52 Time= 2.806e-4 Dt= 5.602e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.19e-11 MAX ERR= 4.57e-11 TIME ERR= 1.170e-8 Lanczos/BInv=(13) MEM(KiB)=6149 
 +00:00:00| Step 53 Time= 2.876e-4 Dt= 7.002e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.09e-11 MAX ERR= 4.46e-11 TIME ERR= 5.222e-9 Lanczos/BInv=(13) MEM(KiB)=6149 
 +00:00:00| Step 54 Time= 2.964e-4 Dt= 8.753e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.96e-11 MAX ERR= 4.32e-11 TIME ERR= 2.331e-9 Lanczos/BInv=(13) MEM(KiB)=6149 
 +00:00:00| Step 55 Time= 3.073e-4 Dt= 1.094e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.82e-11 MAX ERR= 4.17e-11 TIME ERR= 1.040e-9 Lanczos/BInv=(13) MEM(KiB)=6149 
 +00:00:00| Step 56 Time= 3.210e-4 Dt= 1.368e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.66e-11 MAX ERR= 3.99e-11 TIME ERR= 4.64e-10 Lanczos/BInv=(13) MEM(KiB)=6149 
 +00:00:00| Step 57 Time= 3.381e-4 Dt= 1.709e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.47e-11 MAX ERR= 3.78e-11 TIME ERR= 2.07e-10 Lanczos/BInv=(13) MEM(KiB)=6149 
 +00:00:00| Step 58 Time= 3.594e-4 Dt= 2.137e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.26e-11 MAX ERR= 3.55e-11 TIME ERR= 9.24e-11 Lanczos/BInv=(13) MEM(KiB)=6150 
 +00:00:00| Step 59 Time= 3.861e-4 Dt= 2.671e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.03e-11 MAX ERR= 3.31e-11 TIME ERR= 4.15e-11 Lanczos/BInv=(13) MEM(KiB)=6151 
 +00:00:00| Step 60 Time= 4.195e-4 Dt= 3.339e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.79e-11 MAX ERR= 3.04e-11 TIME ERR= 2.85e-11 Lanczos/BInv=(13) MEM(KiB)=6151 
 +00:00:00| Step 61 Time= 4.613e-4 Dt= 4.174e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.53e-11 MAX ERR= 2.76e-11 TIME ERR= 5.57e-11 Lanczos/BInv=(13) MEM(KiB)=6151 
 +00:00:00| Step 62 Time= 5.134e-4 Dt= 5.217e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.27e-11 MAX ERR= 2.48e-11 TIME ERR= 1.09e-10 Lanczos/BInv=(13) MEM(KiB)=6151 
 +00:00:00| Step 63 Time= 5.787e-4 Dt= 6.521e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.01e-11 MAX ERR= 2.20e-11 TIME ERR= 2.12e-10 Lanczos/BInv=(13) MEM(KiB)=6151 
 +00:00:00| Step 64 Time= 6.602e-4 Dt= 8.152e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.76e-11 MAX ERR= 1.92e-11 TIME ERR= 4.15e-10 Lanczos/BInv=(13) MEM(KiB)=6151 
