{
FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
File: assignment_1_rocket.pde  20:13:43 1/24/24
Title: Rocket DA1
Output: h, v, p
 Time 120.391
<Time> 	<h(0,0)> 	<v(0,0)> 	<p(0,0)> 
   23.177445086	  3894.322039	  353.8595139	  62494.428493
   23.569926782	  4034.5848109	  360.86900472	  61363.480322
   24.000000000	  4191.4508483	  368.5952991	  60118.34918
   24.392481695	  4337.5138892	  375.68810345	  58977.437246
   24.784963391	  4486.3684507	  382.82122067	  57832.822736
   25.177445086	  4638.0305794	  389.9950344	  56685.186529
   25.569926782	  4792.516375	  397.20993572	  55535.212836
   26.000000000	  4965.0607727	  405.16354122	  54273.220819
   26.392481695	  5125.5175061	  412.46587127	  53120.573921
   26.883083815	  5330.1340221	  421.65343969	  51679.541003
   27.373685934	  5539.2758033	  430.90807282	  50239.516196
   27.864288053	  5752.9751134	  440.23061907	  48801.846845
   28.000000000	  5812.896399	  442.82150645	  48404.763285
   28.490602119	  6032.4567341	  452.2318978	  46972.08098
   28.981204239	  6256.6548901	  461.71236842	  45544.764325
   29.471806358	  6485.5229568	  471.26380618	  44124.147933
   30.000000000	  6737.1882268	  481.62756597	  42603.666381
   30.490602119	  6975.8650557	  491.3295041	  41201.128918
   30.981204239	  7219.3196026	  501.10547088	  39809.271739
   31.471806358	  7467.5886916	  510.95653727	  38429.348567
   32.000000000	  7740.3067008	  521.64766096	  36958.440116
   32.490602119	  7998.6938222	  531.65822288	  35607.210724
   32.981204239	  8262.011118	  541.74731941	  34271.637005
   33.471806358	  8530.2976999	  551.91613396	  32952.872688
   34.000000000	  8824.7427054	  562.95464606	  31553.134474
   34.490602119	  9103.4761344	  573.29290325	  30272.829724
   34.981204239	  9387.3017077	  583.71465242	  29012.691405
   35.471806358	  9676.2610147	  594.22118715	  27773.73654
   36.000000000	  9993.1495478	  605.6290892	  26464.645954
   36.490602119	  10292.905345	  616.31593796	  25272.759062
   36.981204239	  10597.925615	  627.09167589	  24104.936871
   37.471806358	  10908.254638	  637.95770224	  22962.024637
   38.000000000	  11248.349166	  649.75891433	  21760.295451
   38.490602119	  11569.846959	  660.8170123	  20671.605956
   38.981204239	  11896.792767	  671.96981333	  19610.128699
   39.471806358	  12229.233768	  683.21881459	  18576.505535
   40.000000000	  12593.346423	  695.4390665	  17495.489647
   40.490602119	  12937.35282	  706.89271799	  16521.523199
   40.981204239	  13287.002787	  718.44726682	  15577.044248
   41.471806358	  13642.346587	  730.10429717	  14662.464861
   42.000000000	  14031.342631	  742.77096216	  13711.631446
   42.490602119	  14398.674351	  754.64595048	  12860.199298
   42.981204239	  14771.857924	  766.62836212	  12039.56054
   43.471806358	  15150.946856	  778.71985454	  11249.878347
   44.000000000	  15565.747753	  791.86172971	  10434.404936
   44.490602119	  15957.274376	  804.18510193	  9709.2561601
   44.981204239	  16354.874467	  816.62269637	  9015.1733137
   45.471806358	  16758.604907	  829.17622815	  8352.0611014
   46.000000000	  17200.190911	  842.82327298	  7672.5749573
   46.490602119	  17616.837157	  855.62308994	  7073.1978142
   46.981204239	  18039.792301	  868.5441367	  6504.1042501
   47.471806358	  18469.116699	  881.58817016	  5964.9427997
   48.000000000	  18938.5289	  895.77122505	  5417.4538002
   48.613252649	  19492.992796	  912.42276225	  4823.9319839
   49.226505298	  20057.734635	  929.27574126	  4274.6747399
   49.839757947	  20632.876285	  946.33354787	  3768.491785
   50.000000000	  20784.881705	  950.82470153	  3643.1697613
   50.613252649	  21373.298428	  968.14518968	  3189.4293595
   51.226505298	  21972.417401	  985.678739	  2775.5832402
   51.839757947	  22582.360551	  1003.4285864	  2400.0496818
   52.000000000	  22743.529737	  1008.1024566	  2308.0333723
   52.613252649	  23367.289245	  1026.129425	  1978.4103531
   53.226505298	  24002.18866	  1044.3809243	  1683.1331146
   53.839757947	  24648.356366	  1062.8602306	  1420.3212716
   54.000000000	  24819.064597	  1067.7266069	  1356.7608923
   54.613252649	  25479.617466	  1086.4976141	  1132.115919
   55.226505298	  26151.770919	  1105.5047966	  935.444553
   55.839757947	  26835.659964	  1124.7515073	  764.70160202
   56.000000000	  27016.302177	  1129.8203425	  724.10476168
   56.613252649	  27715.174636	  1149.373663	  583.12067752
   57.226505298	  28426.13196	  1169.1751487	  463.3829189
   57.839757947	  29149.316006	  1189.2283028	  362.84275666
   58.000000000	  29340.30734	  1194.5098726	  339.48487635
   58.613252649	  30079.103458	  1214.8851902	  260.29106493
   59.226505298	  30830.493313	  1235.5213218	  195.80672349
   59.839757947	  31594.626027	  1256.4220406	  144.15561822
   60.000000000	  31796.402735	  1261.9272267	  132.55004136
   60.613252649	  32576.808364	  1283.1668219	  94.547093968
   61.226505298	  33370.342966	  1304.6810153	  65.478618168
   61.839757947	  34177.163636	  1326.4740153	  43.809667958
   62.000000000	  34390.184701	  1332.2147279	  39.189777558
   62.613252649	  35213.974321	  1354.365191	  24.872215633
   63.226505298	  36051.457396	  1376.805796	  14.988936823
   63.839757947	  36902.80006	  1399.5413811	  8.4741591247
   64.000000000	  37127.549784	  1405.5310998	  7.2105165308
   64.613252649	  37996.597221	  1428.6454616	  3.6686003644
   65.226505298	  38879.936049	  1452.0679601	  1.6660259405
   65.839757947	  39777.742902	  1475.8042491	  0.6469571975
   66.000000000	  40014.734631	  1482.0586066	  0.4884963272
   66.613252649	  40931.028164	  1506.1985367	  0.1393660479
   67.226505298	  41862.249995	  1530.6676325	  0.0259151885
   67.839757947	  42808.589013	  1555.4724673	  2.0417174913e-3
   68.000000000	  43058.369938	  1562.0097128	  7.9592415072e-4
   68.613252649	  44024.03129	  1587.2470911	  4.5035614011e-7
   69.226505298	  45005.303145	  1612.8378863	  0.
   69.839757947	  46002.388447	  1638.7895382	  0.
   70.000000000	  46265.544994	  1645.6306416	  0.
   70.613252649	  47282.85004	  1672.0476445	  0.
   71.226505298	  48316.499325	  1698.845338	  0.
   71.839757947	  49366.71157	  1726.0320477	  0.
   72.000000000	  49643.874693	  1733.2005712	  0.
   72.613252649	  50715.273581	  1760.8893766	  0.
   73.226505298	  51803.808217	  1788.9894327	  0.
   73.839757947	  52909.715015	  1817.5100947	  0.
   74.000000000	  53201.565594	  1825.0324546	  0.
   74.613252649	  54329.703861	  1854.0964872	  0.
   75.226505298	  55475.834264	  1883.6061636	  0.
   75.839757947	  56640.213148	  1913.5720454	  0.
   76.000000000	  56947.488161	  1921.4779889	  0.
   76.613252649	  58135.231085	  1952.033824	  0.
   77.226505298	  59341.895731	  1983.0741985	  0.
   77.839757947	  60567.761007	  2014.6110979	  0.
   78.000000000	  60891.260763	  2022.9342887	  0.
   78.613252649	  62141.721937	  2055.1139835	  0.
   79.226505298	  63412.117423	  2087.8224391	  0.
   79.839757947	  64702.751811	  2121.0733329	  0.
   80.000000000	  65043.348485	  2129.852071	  0.
   80.613252649	  66359.923576	  2163.8060377	  0.
   81.226505298	  67697.540219	  2198.339332	  0.
   81.839757947	  69056.532405	  2233.467658	  0.
   82.000000000	  69415.18018	  2242.7457737	  0.
   82.613252649	  70801.587114	  2278.6463508	  0.
   83.226505298	  72210.251422	  2315.1844445	  0.
   83.839757947	  73641.540969	  2352.3782071	  0.
   84.000000000	  74019.288184	  2362.2061807	  0.
   84.613252649	  75479.615355	  2400.2521185	  0.
   85.188689351	  76871.33812	  2436.5923007	  0.
   85.764126053	  78284.167777	  2473.5702424	  0.
   86.000000000	  78869.448316	  2488.9149268	  0.
   86.575436702	  80312.61144	  2526.8224463	  0.
   87.150873404	  81777.822878	  2565.4178629	  0.
   87.726310106	  83265.461744	  2604.7218999	  0.
   88.000000000	  83980.969393	  2623.6691171	  0.
   88.575436702	  85502.400373	  2664.0577369	  0.
   89.150873404	  87047.330796	  2705.2152563	  0.
   89.726310106	  88616.187844	  2747.1663782	  0.
   90.000000000	  89370.861148	  2767.403321	  0.
   90.575436702	  90975.80867	  2810.5718223	  0.
   91.107250001	  92481.411229	  2851.2359632	  0.
   91.639063300	  94008.849493	  2892.6619906	  0.
   92.000000000	  95058.124798	  2921.2225872	  0.
   92.531813299	  96623.115306	  2963.9837861	  0.
   93.063626598	  98211.092731	  3007.5797	  0.
   93.595439897	  99822.495128	  3052.0389136	  0.
   94.000000000	  101064.26289	  3086.4550524	  0.
   94.531813299	  102718.02082	  3132.5084681	  0.
   95.026906259	  104279.83136	  3176.2379693	  0.
   95.521999218	  105863.50574	  3220.8220282	  0.
   96.000000000	  107413.65123	  3264.7061014	  0.
   96.495092959	  109041.56722	  3311.0603656	  0.
   96.990185919	  110692.6745	  3358.3651259	  0.
   97.458067459	  112274.77024	  3403.9751363	  0.
   98.000000000	  114134.25758	  3457.9485186	  0.
   98.470763111	  115773.53835	  3505.867967	  0.
   98.941526222	  117435.60706	  3554.7871651	  0.
   99.378499706	  118999.18603	  3601.1232963	  0.
   99.815473191	  120583.2113	  3648.3870848	  0.
   100.00000000	  121258.32844	  3668.6301774	  0.
   100.43697348	  122872.10002	  3717.2695155	  0.
   100.84155874	  124385.42545	  3763.2104507	  0.
   101.24614400	  125917.52835	  3810.0538703	  0.
   101.65072926	  127468.77749	  3857.8327158	  0.
   102.00000000	  128823.61952	  3899.8570478	  0.
   102.40458526	  130411.56849	  3949.4726751	  0.
   102.80917052	  132019.81398	  4000.1302787	  0.
   103.21375578	  133648.78057	  4051.8706404	  0.
   103.59573250	  135206.12857	  4101.7518737	  0.
   104.00000000	  136875.34455	  4155.6811819	  0.
   104.37167479	  138429.42275	  4206.3346987	  0.
   104.74334958	  140002.52379	  4258.0570372	  0.
   105.11502437	  141595.05729	  4310.8916024	  0.
   105.46589846	  143116.67004	  4361.830268	  0.
   105.81677255	  144656.34262	  4413.8411303	  0.
   106.00000000	  145467.63999	  4441.4385347	  0.
   106.35087409	  147035.50685	  4495.1610952	  0.
   106.67556468	  148503.36303	  4545.932765	  0.
   107.00025526	  149987.8815	  4597.7607264	  0.
   107.32494585	  151489.41051	  4650.6869762	  0.
   107.64963643	  153008.31355	  4704.7562246	  0.
   108.00000000	  154667.25181	  4764.4390379	  0.
   108.31493111	  156176.46447	  4819.320738	  0.
   108.62986222	  157703.15016	  4875.4224424	  0.
   108.92417405	  159146.01747	  4928.9997064	  0.
   109.21848587	  160604.82111	  4983.7338829	  0.
   109.51279770	  162079.91276	  5039.6739768	  0.
   109.80710952	  163571.6564	  5096.8717829	  0.
   110.00000000	  164558.52416	  5135.0635096	  0.
   110.27720124	  165989.77997	  5190.9695386	  0.
   110.53928933	  167357.41957	  5244.9766569	  0.
   110.80137741	  168739.3696	  5300.1464787	  0.
   111.06346550	  170135.94103	  5356.5277938	  0.
   111.32555359	  171547.45825	  5414.1725713	  0.
   111.58764167	  172974.25986	  5473.136214	  0.
   111.83473284	  174333.72701	  5529.9857215	  0.
   112.00000000	  175250.89261	  5568.7149257	  0.
   112.24709117	  176634.21977	  5627.722703	  0.
   112.47816258	  177941.212	  5684.1478371	  0.
   112.70923398	  179261.39053	  5741.8255199	  0.
   112.94030539	  180595.05099	  5800.8103856	  0.
   113.17137679	  181942.50224	  5861.1607695	  0.
   113.39015021	  183231.23588	  5919.6129709	  0.
   113.60892362	  184532.90305	  5979.4008078	  0.
   113.82769704	  185847.80506	  6040.5850484	  0.
   114.00000000	  186892.90754	  6089.794501	  0.
   114.20657645	  188157.19765	  6150.0343494	  0.
   114.41315291	  189434.0866	  6211.6874654	  0.
   114.61972936	  190723.86945	  6274.8186818	  0.
   114.81349081	  191945.6301	  6335.4378342	  0.
   115.00725226	  193179.27365	  6397.4799995	  0.
   115.19070188	  194358.46754	  6457.5911993	  0.
   115.37415151	  195548.81617	  6519.0976292	  0.
   115.55760113	  196750.58386	  6582.064292	  0.
   115.73162584	  197901.40882	  6643.2073094	  0.
   115.90565056	  199062.99915	  6705.7889899	  0.
   116.00000000	  199697.33934	  6740.3383756	  0.
   116.17402471	  200876.01326	  6805.2664587	  0.
   116.33373915	  201967.83686	  6866.2824343	  0.
   116.49345358	  203069.52309	  6928.7259966	  0.
   116.65316802	  204181.30472	  6992.6636642	  0.
   116.81288245	  205303.42602	  7058.1668753	  0.
   116.96346386	  206371.07552	  7121.425673	  0.
   117.11404527	  207448.36533	  7186.2122594	  0.
   117.25703208	  208480.45744	  7249.2120926	  0.
   117.40001890	  209521.66554	  7313.7239721	  0.
   117.54300571	  210572.21299	  7379.8213193	  0.
   117.67839679	  211575.76856	  7443.9384522	  0.
   117.81378788	  212588.1106	  7509.6178111	  0.
   117.94917896	  213609.45771	  7576.9365367	  0.
   118.00000000	  213995.18933	  7602.6394432	  0.
   118.12746183	  214968.43701	  7668.2040857	  0.
   118.24532262	  215875.91285	  7730.2834644	  0.
   118.36318341	  216790.79547	  7793.8221007	  0.
   118.48104419	  217713.25952	  7858.8883985	  0.
   118.59890498	  218643.48906	  7925.5561325	  0.
   118.71676577	  219581.6775	  7993.9047053	  0.
   118.82841075	  220477.90818	  8060.2748343	  0.
   118.94005574	  221381.64156	  8128.3070206	  0.
   119.04607499	  222246.9527	  8194.5253111	  0.
   119.15209423	  223119.3717	  8262.3954173	  0.
   119.25811348	  223999.07971	  8332.0013171	  0.
   119.35817561	  224836.21089	  8399.3677137	  0.
   119.45823775	  225680.16811	  8468.4407145	  0.
   119.55324223	  226487.94242	  8535.6806188	  0.
   119.64824671	  227302.18539	  8604.6183875	  0.
   119.74325118	  228123.06391	  8675.3415942	  0.
   119.83288303	  228903.75766	  8743.7848985	  0.
   119.92251487	  229690.6647	  8813.9847598	  0.
