FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\Nathan Latka\OneDrive - McMaster University\Documents\GitHub\2CM4_Projects\DA-1\assignement 1 rocket.pde  12:06:21 1/22/24
Using 1 Thread(s)
 +00:00:00| STEP FAILED. RETRY at Dt= 0.003000
 +00:00:00| Step 53 Time= 0.006335 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.41e-15 MAX ERR= 1.41e-15 TIME ERR= 1.290e-5 MEM=425
 +00:00:00| Step 54 Time= 0.006504 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.32e-15 MAX ERR= 1.38e-15 TIME ERR= 1.290e-5 MEM=425
 +00:00:00| Step 55 Time= 0.006672 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.29e-15 MAX ERR= 1.34e-15 TIME ERR= 1.291e-5 MEM=425
 +00:00:00| Step 56 Time= 0.006840 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.20e-15 MAX ERR= 1.25e-15 TIME ERR= 1.291e-5 MEM=425
 +00:00:00| Step 57 Time= 0.007009 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 2.39e-15 MAX ERR= 2.50e-15 TIME ERR= 1.291e-5 MEM=425
 +00:00:00| Step 58 Time= 0.007177 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 3.62e-15 MAX ERR= 3.78e-15 TIME ERR= 1.291e-5 MEM=425
 +00:00:00| Step 59 Time= 0.007345 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 6.15e-16 MAX ERR= 6.15e-16 TIME ERR= 1.259e-5 MEM=425
 +00:00:00| Step 60 Time= 0.007514 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.65e-15 MAX ERR= 1.65e-15 TIME ERR= 1.207e-5 MEM=425
 +00:00:00| Step 61 Time= 0.007682 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 4.40e-15 MAX ERR= 4.59e-15 TIME ERR= 1.158e-5 MEM=425
 +00:00:00| Step 62 Time= 0.007850 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 4.11e-15 MAX ERR= 4.29e-15 TIME ERR= 1.112e-5 MEM=425
 +00:00:00| Step 63 Time= 0.008019 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 0.000000 MAX ERR= 0.000000 TIME ERR= 1.069e-5 MEM=425
 +00:00:00| Step 64 Time= 0.008187 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 2.16e-15 MAX ERR= 2.25e-15 TIME ERR= 1.029e-5 MEM=425
 +00:00:00| Step 65 Time= 0.008355 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 2.11e-15 MAX ERR= 2.18e-15 TIME ERR= 9.904e-6 MEM=425
 +00:00:00| Step 66 Time= 0.008544 Dt= 1.888e-4 Nodes=9 Cells=2 RMS ERR= 2.00e-15 MAX ERR= 2.09e-15 TIME ERR= 1.292e-5 MEM=426
 +00:00:00| Step 67 Time= 0.008733 Dt= 1.888e-4 Nodes=9 Cells=2 RMS ERR= 2.17e-15 MAX ERR= 2.27e-15 TIME ERR= 1.227e-5 MEM=426
 +00:00:00| Step 68 Time= 0.008922 Dt= 1.888e-4 Nodes=9 Cells=2 RMS ERR= 1.88e-15 MAX ERR= 1.97e-15 TIME ERR= 1.218e-5 MEM=426
 +00:00:00| Step 69 Time= 0.009110 Dt= 1.888e-4 Nodes=9 Cells=2 RMS ERR= 2.03e-15 MAX ERR= 2.12e-15 TIME ERR= 1.184e-5 MEM=426
 +00:00:00| Step 70 Time= 0.009299 Dt= 1.888e-4 Nodes=9 Cells=2 RMS ERR= 1.98e-15 MAX ERR= 2.05e-15 TIME ERR= 1.143e-5 MEM=426
 +00:00:00| Step 71 Time= 0.009488 Dt= 1.888e-4 Nodes=9 Cells=2 RMS ERR= 1.69e-15 MAX ERR= 1.76e-15 TIME ERR= 1.102e-5 MEM=426
 +00:00:00| Step 72 Time= 0.009700 Dt= 2.119e-4 Nodes=9 Cells=2 RMS ERR= 5.86e-16 MAX ERR= 5.86e-16 TIME ERR= 1.438e-5 MEM=426
 +00:00:00| Step 73 Time= 0.009912 Dt= 2.119e-4 Nodes=9 Cells=2 RMS ERR= 1.75e-15 MAX ERR= 1.82e-15 TIME ERR= 1.367e-5 MEM=426
 +00:00:00| Step 74 Time= 0.010124 Dt= 2.119e-4 Nodes=9 Cells=2 RMS ERR= 1.72e-15 MAX ERR= 1.76e-15 TIME ERR= 1.357e-5 MEM=426
 +00:00:00| Step 75 Time= 0.010336 Dt= 2.119e-4 Nodes=9 Cells=2 RMS ERR= 1.86e-15 MAX ERR= 1.94e-15 TIME ERR= 1.319e-5 MEM=426
 +00:00:00| Step 76 Time= 0.010548 Dt= 2.119e-4 Nodes=9 Cells=2 RMS ERR= 1.58e-15 MAX ERR= 1.65e-15 TIME ERR= 1.274e-5 MEM=426
 +00:00:00| Step 77 Time= 0.010759 Dt= 2.119e-4 Nodes=9 Cells=2 RMS ERR= 1.51e-15 MAX ERR= 1.58e-15 TIME ERR= 1.229e-5 MEM=426
 +00:00:00| Step 78 Time= 0.010997 Dt= 2.377e-4 Nodes=9 Cells=2 RMS ERR= 3.06e-15 MAX ERR= 3.19e-15 TIME ERR= 1.603e-5 MEM=426
 +00:00:00| Step 79 Time= 0.011235 Dt= 2.377e-4 Nodes=9 Cells=2 RMS ERR= 1.57e-15 MAX ERR= 1.63e-15 TIME ERR= 1.524e-5 MEM=426
 +00:00:00| Step 80 Time= 0.011473 Dt= 2.377e-4 Nodes=9 Cells=2 RMS ERR= 2.19e-15 MAX ERR= 2.29e-15 TIME ERR= 1.514e-5 MEM=426
 +00:00:00| Step 81 Time= 0.011710 Dt= 2.377e-4 Nodes=9 Cells=2 RMS ERR= 1.45e-15 MAX ERR= 1.52e-15 TIME ERR= 1.472e-5 MEM=426
 +00:00:00| Step 82 Time= 0.011948 Dt= 2.377e-4 Nodes=9 Cells=2 RMS ERR= 2.91e-15 MAX ERR= 3.04e-15 TIME ERR= 1.422e-5 MEM=426
 +00:00:00| Step 83 Time= 0.012186 Dt= 2.377e-4 Nodes=9 Cells=2 RMS ERR= 1.62e-15 MAX ERR= 1.68e-15 TIME ERR= 1.371e-5 MEM=426
 +00:00:00| Step 84 Time= 0.012453 Dt= 2.667e-4 Nodes=9 Cells=2 RMS ERR= 2.23e-15 MAX ERR= 2.33e-15 TIME ERR= 1.790e-5 MEM=426
 +00:00:00| Step 85 Time= 0.012719 Dt= 2.667e-4 Nodes=9 Cells=2 RMS ERR= 4.60e-15 MAX ERR= 4.81e-15 TIME ERR= 1.702e-5 MEM=426
 +00:00:00| Step 86 Time= 0.012986 Dt= 2.667e-4 Nodes=9 Cells=2 RMS ERR= 2.04e-15 MAX ERR= 2.13e-15 TIME ERR= 1.690e-5 MEM=426
 +00:00:00| Step 87 Time= 0.013253 Dt= 2.667e-4 Nodes=9 Cells=2 RMS ERR= 2.17e-15 MAX ERR= 2.23e-15 TIME ERR= 1.643e-5 MEM=426
 +00:00:00| Step 88 Time= 0.013520 Dt= 2.667e-4 Nodes=9 Cells=2 RMS ERR= 1.64e-15 MAX ERR= 1.64e-15 TIME ERR= 1.588e-5 MEM=426
 +00:00:00| Step 89 Time= 0.013786 Dt= 2.667e-4 Nodes=9 Cells=2 RMS ERR= 1.89e-15 MAX ERR= 1.97e-15 TIME ERR= 1.531e-5 MEM=426
