FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/V3 Rocket Optimization.pde  11:01:49 1/9/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 33 Time= 0.046119 Dt= 0.009222 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.34e-17 MAX ERR= 1.02e-16 TIME ERR= 2.155e-4 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 34 Time= 0.057646 Dt= 0.011527 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.15e-16 MAX ERR= 1.25e-16 TIME ERR= 3.982e-4 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 35 Time= 0.072055 Dt= 0.014409 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.19e-16 MAX ERR= 1.30e-16 TIME ERR= 7.274e-4 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 36 Time= 0.090066 Dt= 0.018011 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.76e-16 MAX ERR= 1.92e-16 TIME ERR= 0.001312 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 37 Time= 0.108077 Dt= 0.018011 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.81e-16 MAX ERR= 1.97e-16 TIME ERR= 0.001282 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 38 Time= 0.126088 Dt= 0.018011 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.86e-16 MAX ERR= 2.02e-16 TIME ERR= 0.001275 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 39 Time= 0.144099 Dt= 0.018011 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.17e-16 MAX ERR= 2.36e-16 TIME ERR= 0.001203 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 40 Time= 0.162109 Dt= 0.018011 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.08e-16 MAX ERR= 2.26e-16 TIME ERR= 0.001118 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 41 Time= 0.180120 Dt= 0.018011 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.00e-16 MAX ERR= 2.18e-16 TIME ERR= 0.001038 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 42 Time= 0.198131 Dt= 0.018011 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.71e-16 MAX ERR= 1.87e-16 TIME ERR= 9.652e-4 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 43 Time= 0.216142 Dt= 0.018011 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.57e-16 MAX ERR= 1.71e-16 TIME ERR= 9.009e-4 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 44 Time= 0.234153 Dt= 0.018011 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.69e-16 MAX ERR= 1.84e-16 TIME ERR= 8.439e-4 Lanczos/BInv=(13) MEM(KiB)=8025 
