FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/tempflexfile.pde  10:04:12 1/11/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 42 Time= 0.169986 Dt= 0.016343 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.25e-17 MAX ERR= 9.30e-17 TIME ERR= 0.001119 Lanczos/BInv=(13) MEM(KiB)=5506 
 +00:00:00| Step 43 Time= 0.186330 Dt= 0.016343 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.79e-17 MAX ERR= 1.01e-16 TIME ERR= 0.001041 Lanczos/BInv=(13) MEM(KiB)=5506 
 +00:00:00| Step 44 Time= 0.202673 Dt= 0.016343 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.08e-16 MAX ERR= 1.14e-16 TIME ERR= 9.663e-4 Lanczos/BInv=(13) MEM(KiB)=5506 
 +00:00:00| Step 45 Time= 0.219017 Dt= 0.016343 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.68e-17 MAX ERR= 9.85e-17 TIME ERR= 8.983e-4 Lanczos/BInv=(13) MEM(KiB)=5506 
 +00:00:00| Step 46 Time= 0.235360 Dt= 0.016343 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.83e-17 MAX ERR= 9.89e-17 TIME ERR= 8.370e-4 Lanczos/BInv=(13) MEM(KiB)=5506 
 +00:00:00| Step 47 Time= 0.251704 Dt= 0.016343 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.65e-17 MAX ERR= 9.89e-17 TIME ERR= 7.820e-4 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 48 Time= 0.272133 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.05e-16 MAX ERR= 1.06e-16 TIME ERR= 0.001323 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 49 Time= 0.292562 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.21e-16 MAX ERR= 1.24e-16 TIME ERR= 0.001208 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 50 Time= 0.312992 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.13e-16 MAX ERR= 1.15e-16 TIME ERR= 0.001196 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 51 Time= 0.333421 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.18e-16 MAX ERR= 1.21e-16 TIME ERR= 0.001161 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 52 Time= 0.353850 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.24e-16 MAX ERR= 1.29e-16 TIME ERR= 0.001161 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 53 Time= 0.374280 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.23e-16 MAX ERR= 1.23e-16 TIME ERR= 0.001158 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 54 Time= 0.394709 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.13e-16 MAX ERR= 1.16e-16 TIME ERR= 0.001154 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 55 Time= 0.415138 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.15e-16 MAX ERR= 1.20e-16 TIME ERR= 0.001150 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 56 Time= 0.435568 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.27e-16 MAX ERR= 1.30e-16 TIME ERR= 0.001146 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 57 Time= 0.455997 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.37e-16 MAX ERR= 1.41e-16 TIME ERR= 0.001144 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 58 Time= 0.476426 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.44e-16 MAX ERR= 1.48e-16 TIME ERR= 0.001142 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 59 Time= 0.496856 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.46e-16 MAX ERR= 1.52e-16 TIME ERR= 0.001140 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 60 Time= 0.517285 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.51e-16 MAX ERR= 1.56e-16 TIME ERR= 0.001139 Lanczos/BInv=(13) MEM(KiB)=5507 
 +00:00:00| Step 61 Time= 0.537714 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.51e-16 MAX ERR= 1.57e-16 TIME ERR= 0.001139 Lanczos/BInv=(13) MEM(KiB)=5509 
 +00:00:00| Step 62 Time= 0.558144 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.50e-16 MAX ERR= 1.57e-16 TIME ERR= 0.001139 Lanczos/BInv=(13) MEM(KiB)=5509 
 +00:00:00| Step 63 Time= 0.578573 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.52e-16 MAX ERR= 1.61e-16 TIME ERR= 0.001139 Lanczos/BInv=(13) MEM(KiB)=5509 
 +00:00:00| Step 64 Time= 0.599002 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.55e-16 MAX ERR= 1.63e-16 TIME ERR= 0.001140 Lanczos/BInv=(13) MEM(KiB)=5509 
 +00:00:00| Step 65 Time= 0.619432 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.62e-16 MAX ERR= 1.71e-16 TIME ERR= 0.001142 Lanczos/BInv=(13) MEM(KiB)=5510 
