FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Documents/GitHub/2CM4_Projects/DA-1/assignement 1 rocket.pde  11:12:08 1/22/24
 +00:00:01| Mesh Generation Complete
 +00:00:01| Step 45 Time= 3.333e-4 Dt= 6.667e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.96e-14 MAX ERR= 3.20e-14 TIME ERR= 1.328e-6 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 46 Time= 4.167e-4 Dt= 8.333e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.25e-14 MAX ERR= 2.42e-14 TIME ERR= 2.594e-6 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 47 Time= 5.208e-4 Dt= 1.042e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.69e-14 MAX ERR= 1.82e-14 TIME ERR= 5.066e-6 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 48 Time= 6.511e-4 Dt= 1.302e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.26e-14 MAX ERR= 1.36e-14 TIME ERR= 9.896e-6 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 49 Time= 8.138e-4 Dt= 1.628e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.24e-15 MAX ERR= 9.96e-15 TIME ERR= 1.933e-5 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 50 Time= 0.001017 Dt= 2.035e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 6.75e-15 MAX ERR= 7.29e-15 TIME ERR= 3.776e-5 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 51 Time= 0.001272 Dt= 2.543e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.84e-15 MAX ERR= 5.23e-15 TIME ERR= 7.377e-5 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 52 Time= 0.001589 Dt= 3.179e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.42e-15 MAX ERR= 3.69e-15 TIME ERR= 1.441e-4 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 53 Time= 0.001987 Dt= 3.974e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.38e-15 MAX ERR= 2.56e-15 TIME ERR= 2.816e-4 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 54 Time= 0.002484 Dt= 4.967e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.60e-15 MAX ERR= 1.72e-15 TIME ERR= 5.502e-4 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 55 Time= 0.003104 Dt= 6.209e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.12e-15 MAX ERR= 1.20e-15 TIME ERR= 0.001075 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 56 Time= 0.003725 Dt= 6.209e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 8.09e-16 MAX ERR= 8.75e-16 TIME ERR= 0.001148 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 57 Time= 0.004346 Dt= 6.209e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 6.10e-16 MAX ERR= 6.58e-16 TIME ERR= 0.001244 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 58 Time= 0.004967 Dt= 6.209e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.59e-16 MAX ERR= 4.96e-16 TIME ERR= 0.001277 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 59 Time= 0.005588 Dt= 6.209e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.70e-16 MAX ERR= 4.02e-16 TIME ERR= 0.001288 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 60 Time= 0.006209 Dt= 6.209e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.80e-16 MAX ERR= 3.03e-16 TIME ERR= 0.001293 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 61 Time= 0.006830 Dt= 6.209e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-16 MAX ERR= 2.33e-16 TIME ERR= 0.001295 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 62 Time= 0.007451 Dt= 6.209e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.11e-16 MAX ERR= 2.18e-16 TIME ERR= 0.001251 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 63 Time= 0.008072 Dt= 6.209e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.92e-16 MAX ERR= 2.01e-16 TIME ERR= 0.001075 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 64 Time= 0.008692 Dt= 6.209e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.60e-16 MAX ERR= 1.63e-16 TIME ERR= 9.346e-4 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 65 Time= 0.009313 Dt= 6.209e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.59e-16 MAX ERR= 1.71e-16 TIME ERR= 8.200e-4 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 66 Time= 0.009934 Dt= 6.209e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.62e-16 MAX ERR= 1.75e-16 TIME ERR= 7.254e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 67 Time= 0.010710 Dt= 7.761e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.93e-16 MAX ERR= 2.09e-16 TIME ERR= 0.001144 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 68 Time= 0.011487 Dt= 7.761e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.08e-16 MAX ERR= 2.24e-16 TIME ERR= 9.860e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 69 Time= 0.012263 Dt= 7.761e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.97e-16 MAX ERR= 2.12e-16 TIME ERR= 9.248e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 70 Time= 0.013039 Dt= 7.761e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.80e-16 MAX ERR= 1.95e-16 TIME ERR= 8.381e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 71 Time= 0.013815 Dt= 7.761e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.72e-16 MAX ERR= 1.86e-16 TIME ERR= 7.548e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 72 Time= 0.014785 Dt= 9.701e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.64e-16 MAX ERR= 1.76e-16 TIME ERR= 0.001207 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 73 Time= 0.015755 Dt= 9.701e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.50e-16 MAX ERR= 1.59e-16 TIME ERR= 0.001053 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 74 Time= 0.016725 Dt= 9.701e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.33e-16 MAX ERR= 1.35e-16 TIME ERR= 9.972e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 75 Time= 0.017695 Dt= 9.701e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.42e-16 MAX ERR= 1.47e-16 TIME ERR= 9.117e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 76 Time= 0.018666 Dt= 9.701e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.24e-16 MAX ERR= 1.27e-16 TIME ERR= 8.274e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 77 Time= 0.019636 Dt= 9.701e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.61e-17 MAX ERR= 9.67e-17 TIME ERR= 7.517e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 78 Time= 0.020848 Dt= 0.001213 Nodes=4 Cells=2 DOF=16 RMS ERR= 7.70e-17 MAX ERR= 8.24e-17 TIME ERR= 0.001217 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 79 Time= 0.022061 Dt= 0.001213 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.73e-17 MAX ERR= 9.92e-17 TIME ERR= 0.001075 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 80 Time= 0.023274 Dt= 0.001213 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.96e-17 MAX ERR= 1.02e-16 TIME ERR= 0.001030 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 81 Time= 0.024486 Dt= 0.001213 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.20e-16 MAX ERR= 1.25e-16 TIME ERR= 9.510e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 82 Time= 0.025699 Dt= 0.001213 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.44e-16 MAX ERR= 1.52e-16 TIME ERR= 8.713e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 83 Time= 0.026912 Dt= 0.001213 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.36e-16 MAX ERR= 1.42e-16 TIME ERR= 7.983e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 84 Time= 0.028428 Dt= 0.001516 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.22e-16 MAX ERR= 1.22e-16 TIME ERR= 0.001305 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 85 Time= 0.029943 Dt= 0.001516 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.13e-16 MAX ERR= 1.16e-16 TIME ERR= 0.001162 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 86 Time= 0.031459 Dt= 0.001516 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.68e-17 MAX ERR= 9.94e-17 TIME ERR= 0.001122 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 87 Time= 0.032975 Dt= 0.001516 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.10e-16 MAX ERR= 1.13e-16 TIME ERR= 0.001044 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 88 Time= 0.034491 Dt= 0.001516 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.12e-16 MAX ERR= 1.18e-16 TIME ERR= 9.623e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 89 Time= 0.036007 Dt= 0.001516 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.14e-16 MAX ERR= 1.18e-16 TIME ERR= 8.869e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 90 Time= 0.037523 Dt= 0.001516 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.09e-16 MAX ERR= 1.16e-16 TIME ERR= 8.192e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 91 Time= 0.039418 Dt= 0.001895 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.08e-16 MAX ERR= 1.16e-16 TIME ERR= 0.001352 Lanczos/BInv=(13) MEM(KiB)=5585 
