FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\Nathan Latka\OneDrive - McMaster University\Documents\GitHub\2CM4_Projects\DA2\DA2 Grady.pde  21:31:50 2/7/24
Using 1 Thread(s)
 +00:00:01| Step 50 Time= 2.435448 Dt= 0.080183 Nodes=813 Cells=374 RMS ERR= 0.001879 MAX ERR= 0.002565 TIME ERR= 4.097e-4 MEM=3550
 +00:00:01| Step 51 Time= 2.525415 Dt= 0.089967 Nodes=813 Cells=374 RMS ERR= 0.001853 MAX ERR= 0.002539 TIME ERR= 4.781e-4 MEM=3550
 +00:00:01| Step 52 Time= 2.626360 Dt= 0.100945 Nodes=809 Cells=372 RMS ERR= 0.001689 MAX ERR= 0.002331 TIME ERR= 3.652e-4 MEM=3553
 +00:00:01| Step 53 Time= 2.739622 Dt= 0.113262 Nodes=690 Cells=313 RMS ERR= 0.001592 MAX ERR= 0.002244 TIME ERR= 0.002822 MEM=3551
 +00:00:01| Step 54 Time= 2.840600 Dt= 0.100979 Nodes=665 Cells=304 RMS ERR= 0.001269 MAX ERR= 0.001654 TIME ERR= 0.003246 MEM=3555
 +00:00:01| Step 55 Time= 2.926523 Dt= 0.085923 Nodes=665 Cells=304 RMS ERR= 0.001228 MAX ERR= 0.001595 TIME ERR= 0.002656 MEM=3555
 +00:00:01| Step 56 Time= 3.004690 Dt= 0.078167 Nodes=665 Cells=304 RMS ERR= 0.001193 MAX ERR= 0.001545 TIME ERR= 6.038e-4 MEM=3555
 +00:00:01| Step 57 Time= 3.092395 Dt= 0.087705 Nodes=665 Cells=304 RMS ERR= 0.001159 MAX ERR= 0.001491 TIME ERR= 4.707e-4 MEM=3555
 +00:00:01| Step 58 Time= 3.190802 Dt= 0.098407 Nodes=665 Cells=304 RMS ERR= 0.001126 MAX ERR= 0.001452 TIME ERR= 2.429e-4 MEM=3555
 +00:00:01| Step 59 Time= 3.301216 Dt= 0.110414 Nodes=665 Cells=304 RMS ERR= 0.001098 MAX ERR= 0.001445 TIME ERR= 1.448e-4 MEM=3555
 +00:00:01| Step 60 Time= 3.425102 Dt= 0.123887 Nodes=665 Cells=304 RMS ERR= 0.001076 MAX ERR= 0.001440 TIME ERR= 7.492e-5 MEM=3555
 +00:00:01| Step 61 Time= 3.564105 Dt= 0.139003 Nodes=665 Cells=304 RMS ERR= 0.001060 MAX ERR= 0.001434 TIME ERR= 4.107e-5 MEM=3555
 +00:00:01| Step 62 Time= 3.720069 Dt= 0.155964 Nodes=665 Cells=304 RMS ERR= 0.001050 MAX ERR= 0.001429 TIME ERR= 2.803e-5 MEM=3555
 +00:00:01| Step 63 Time= 3.895063 Dt= 0.174994 Nodes=665 Cells=304 RMS ERR= 0.001042 MAX ERR= 0.001424 TIME ERR= 2.714e-5 MEM=3555
 +00:00:01| Step 64 Time= 4.091410 Dt= 0.196347 Nodes=661 Cells=302 RMS ERR= 0.001497 MAX ERR= 0.001925 TIME ERR= 4.314e-5 MEM=3558
 +00:00:01| Step 65 Time= 4.311715 Dt= 0.220305 Nodes=653 Cells=298 RMS ERR= 0.001573 MAX ERR= 0.002001 TIME ERR= 6.230e-5 MEM=3563
 +00:00:01| Step 66 Time= 4.558901 Dt= 0.247186 Nodes=661 Cells=302 RMS ERR= 0.001788 MAX ERR= 0.002495 TIME ERR= 0.001356 MEM=3565
 +00:00:01| Step 67 Time= 4.806087 Dt= 0.247186 Nodes=685 Cells=314 RMS ERR= 0.001530 MAX ERR= 0.002054 TIME ERR= 0.001568 MEM=3569
 +00:00:01| Step 68 Time= 5.053274 Dt= 0.247186 Nodes=689 Cells=316 RMS ERR= 0.001371 MAX ERR= 0.001842 TIME ERR= 0.001526 MEM=3570
 +00:00:01| Step 69 Time= 5.300460 Dt= 0.247186 Nodes=689 Cells=316 RMS ERR= 0.001296 MAX ERR= 0.001757 TIME ERR= 9.868e-4 MEM=3570
 +00:00:01| Step 70 Time= 5.577807 Dt= 0.277347 Nodes=689 Cells=316 RMS ERR= 0.001241 MAX ERR= 0.001671 TIME ERR= 2.826e-4 MEM=3570
 +00:00:01| Step 71 Time= 5.888996 Dt= 0.311189 Nodes=689 Cells=316 RMS ERR= 0.001200 MAX ERR= 0.001583 TIME ERR= 2.708e-4 MEM=3570
